,Rk,G,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Empty,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,Empty,D_eFG%,D_TOV%,D_ORB%,D_FTFTA,Team
2015-11-20,12,12,,BRK,W,120,95,119.7,94.8,100.2,0.115,0.333,0.656,48.2,76.5,10.0,5.7,,0.644,14.9,18.9,0.092,,0.438,16.0,70.8,0.191,BOS
2015-11-22,13,13,@,BRK,L,101,111,107.8,118.4,93.7,0.256,0.451,0.553,41.7,54.3,9.6,3.1,,0.512,15.7,22.2,0.207,,0.538,13.0,64.1,0.329,BOS
2015-11-24,14,14,@,ATL,L,97,121,97.7,121.9,99.3,0.317,0.256,0.519,43.4,67.6,14.1,3.6,,0.47,14.6,21.3,0.244,,0.638,18.2,79.3,0.238,BOS
2015-11-25,15,15,,PHI,W,84,80,83.9,79.9,100.2,0.198,0.319,0.425,51.9,58.1,7.0,10.7,,0.39,13.9,20.4,0.143,,0.416,16.7,86.0,0.133,BOS
2015-11-27,16,16,,WAS,W,111,78,112.3,78.9,98.8,0.196,0.34,0.527,55.8,66.7,11.1,10.6,,0.495,12.5,36.5,0.155,,0.351,19.0,75.0,0.226,BOS
2015-11-29,17,17,@,ORL,L,91,110,97.0,117.2,93.9,0.227,0.307,0.47,38.6,77.8,7.5,8.8,,0.438,10.2,19.6,0.159,,0.532,11.5,59.5,0.118,BOS
2015-11-30,18,18,@,MIA,W,105,95,115.4,104.4,91.0,0.313,0.25,0.577,51.3,60.5,16.5,5.2,,0.525,14.2,30.8,0.263,,0.513,17.4,71.8,0.24,BOS
2015-12-03,19,19,@,SAC,W,114,97,111.4,94.8,102.3,0.286,0.393,0.603,46.5,85.0,13.7,8.9,,0.56,14.5,14.0,0.238,,0.422,16.7,79.1,0.416,BOS
2015-12-05,20,20,@,SAS,L,105,108,109.9,113.1,95.5,0.256,0.337,0.549,45.3,56.4,9.4,4.5,,0.523,12.8,23.4,0.174,,0.56,13.1,71.8,0.181,BOS
2015-12-07,21,21,@,NOP,W,111,93,115.0,96.3,96.5,0.296,0.346,0.606,51.1,60.0,8.3,10.4,,0.568,15.7,24.4,0.235,,0.433,12.5,73.5,0.167,BOS
2015-12-09,22,22,,CHI,W,105,100,106.1,101.0,99.0,0.304,0.25,0.503,47.4,57.9,10.1,5.7,,0.44,10.3,27.1,0.261,,0.462,13.7,68.1,0.176,BOS
2015-12-11,23,23,,GSW,L (2 OT),119,124,98.1,102.2,100.4,0.14,0.289,0.492,43.2,65.3,5.8,11.8,,0.482,11.0,18.0,0.079,,0.435,12.7,70.2,0.29,BOS
2015-12-12,24,24,@,CHO,W,98,93,100.1,95.0,97.9,0.104,0.26,0.488,44.7,65.0,5.1,9.4,,0.464,4.7,6.3,0.094,,0.472,10.6,84.8,0.114,BOS
2015-12-15,25,25,,CLE,L,77,89,87.3,100.9,88.2,0.161,0.368,0.413,47.1,64.3,6.8,10.9,,0.374,9.7,23.1,0.138,,0.513,14.5,82.9,0.115,BOS
2015-12-16,26,26,@,DET,L,116,119,114.4,117.3,101.4,0.27,0.281,0.583,55.0,39.5,3.9,3.5,,0.539,15.3,25.6,0.225,,0.558,10.2,82.9,0.41,BOS
2015-12-18,27,27,,ATL,L,101,109,98.5,106.3,102.5,0.403,0.299,0.557,50.6,55.9,4.9,2.9,,0.506,18.8,15.4,0.299,,0.489,10.6,80.4,0.261,BOS
2015-12-21,28,28,,MIN,W,113,99,115.4,101.1,97.9,0.18,0.281,0.588,58.1,73.9,6.1,13.6,,0.584,14.3,28.6,0.101,,0.468,11.4,86.4,0.316,BOS
2015-12-23,29,29,@,CHO,W,102,89,105.9,92.4,96.3,0.306,0.341,0.529,52.7,69.4,9.3,7.5,,0.465,11.9,23.8,0.271,,0.407,14.4,76.5,0.284,BOS
2015-12-26,30,30,@,DET,W,99,93,103.6,97.3,95.6,0.274,0.274,0.526,48.0,51.3,6.3,1.5,,0.488,12.9,25.0,0.202,,0.418,12.8,66.7,0.187,BOS
2015-12-27,31,31,,NYK,W,100,91,105.4,95.9,94.9,0.341,0.235,0.511,51.5,50.0,5.3,5.7,,0.471,9.3,25.5,0.235,,0.393,11.5,75.0,0.236,BOS
2015-12-30,32,32,,LAL,L,104,112,105.7,113.9,98.3,0.284,0.307,0.525,46.4,60.5,7.1,6.7,,0.472,9.2,18.8,0.239,,0.505,8.8,73.5,0.181,BOS
2016-01-02,33,33,,BRK,L,97,100,99.8,102.9,97.2,0.318,0.364,0.483,50.5,50.0,8.2,5.3,,0.426,12.2,30.8,0.25,,0.425,12.0,71.4,0.226,BOS
2016-01-04,34,34,@,BRK,W,103,94,111.0,101.3,92.8,0.207,0.228,0.513,47.5,53.7,10.8,8.8,,0.478,6.5,24.5,0.163,,0.412,12.6,69.2,0.282,BOS
2016-01-06,35,35,,DET,L,94,99,99.5,104.8,94.5,0.297,0.308,0.457,45.3,67.6,5.3,10.6,,0.407,8.9,26.5,0.22,,0.514,16.7,70.3,0.311,BOS
2016-01-07,36,36,@,CHI,L,92,101,91.0,99.9,101.1,0.224,0.255,0.427,48.6,48.6,10.9,4.2,,0.383,9.3,26.3,0.173,,0.463,13.6,75.0,0.149,BOS
2016-01-10,37,37,@,MEM,L,98,101,99.3,102.3,98.7,0.261,0.25,0.499,40.2,59.5,17.2,5.9,,0.46,14.0,22.9,0.193,,0.393,17.1,57.1,0.417,BOS
2016-01-12,38,38,@,NYK,L,114,120,116.8,122.9,97.6,0.302,0.337,0.585,51.9,59.5,5.1,6.6,,0.541,8.5,17.5,0.244,,0.574,10.5,85.4,0.333,BOS
2016-01-13,39,39,,IND,W,103,94,101.9,93.0,101.0,0.222,0.289,0.521,50.5,60.0,6.9,3.3,,0.494,16.1,28.6,0.156,,0.434,14.6,72.9,0.165,BOS
2016-01-15,40,40,,PHO,W,117,103,114.5,100.8,102.2,0.302,0.313,0.538,55.4,71.4,11.7,8.1,,0.51,9.9,32.1,0.198,,0.449,12.1,81.3,0.258,BOS
2016-01-16,41,41,@,WAS,W,119,117,120.0,118.0,99.2,0.409,0.33,0.573,52.8,69.2,7.1,4.5,,0.494,13.4,37.8,0.364,,0.483,11.0,68.2,0.348,BOS
2016-01-18,42,42,@,DAL,L (1 OT),113,118,109.9,114.8,93.1,0.277,0.319,0.536,49.0,60.0,8.8,5.1,,0.489,10.2,24.5,0.223,,0.516,11.9,76.6,0.237,BOS
