,Team,Date,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,D_eFG%,D_TOV%,D_ORB%,D_FTFTA
55,ATL,2011-02-22,0,LAL,0.0,80,104,89.8,116.7,89.1,0.341,0.183,0.424,37.2,56.7,7.9,9.8,0.372,6.0,16.0,0.232,0.53,17.7,66.7,0.515
56,ATL,2011-02-23,0,PHO,0.0,97,105,111.8,121.1,86.7,0.185,0.173,0.554,49.3,46.2,9.2,4.0,0.525,12.0,25.6,0.148,0.612,12.6,78.1,0.158
57,ATL,2011-02-25,0,GSW,1.0,95,79,110.3,91.7,86.1,0.131,0.226,0.535,59.0,65.0,10.4,6.5,0.506,18.4,50.0,0.119,0.382,12.9,65.3,0.124
58,ATL,2011-02-27,0,POR,1.0,90,83,103.3,95.3,87.1,0.391,0.304,0.556,59.0,55.2,11.5,9.8,0.478,22.9,42.9,0.348,0.415,13.3,70.8,0.183
59,ATL,2011-02-28,0,DEN,0.0,90,100,98.8,109.8,91.1,0.294,0.224,0.469,49.4,44.1,3.3,10.3,0.412,8.6,21.3,0.235,0.506,6.1,82.5,0.207
60,ATL,2011-03-02,1,CHI,1.0,83,80,101.4,97.7,81.9,0.207,0.146,0.464,46.3,63.6,12.2,3.8,0.433,12.7,32.5,0.146,0.459,16.3,60.0,0.178
61,ATL,2011-03-04,1,OKC,0.0,104,111,116.2,124.0,89.5,0.305,0.207,0.559,51.4,59.0,7.8,6.2,0.512,14.7,35.1,0.244,0.548,9.8,67.6,0.241
62,ATL,2011-03-06,1,NYK,0.0,79,92,90.0,104.9,87.7,0.122,0.23,0.507,47.2,45.5,2.3,5.6,0.486,19.6,18.4,0.095,0.532,13.5,79.4,0.13
63,ATL,2011-03-08,1,LAL,0.0,87,101,106.3,123.4,81.8,0.205,0.265,0.481,46.9,63.6,6.1,1.5,0.44,10.8,34.8,0.169,0.525,10.2,62.9,0.228
64,ATL,2011-03-11,0,CHI,0.0,76,94,92.2,114.0,82.4,0.208,0.194,0.483,35.9,64.5,4.9,11.7,0.465,13.2,10.0,0.125,0.475,9.2,63.2,0.225
65,ATL,2011-03-12,1,POR,1.0,91,82,105.1,94.7,86.6,0.13,0.182,0.559,54.1,45.0,11.6,12.7,0.558,13.8,27.3,0.065,0.396,15.4,75.6,0.273
66,ATL,2011-03-15,1,MIL,1.0,110,85,120.8,93.4,91.1,0.11,0.26,0.719,56.9,67.4,5.5,10.5,0.705,21.5,20.0,0.096,0.436,11.6,76.6,0.116
67,ATL,2011-03-16,1,DEN,0.0,87,102,99.4,116.6,87.5,0.22,0.232,0.484,44.9,70.6,6.9,10.2,0.445,8.2,18.2,0.171,0.582,12.6,79.4,0.233
68,ATL,2011-03-18,1,MIA,0.0,85,106,96.7,120.6,87.9,0.278,0.152,0.479,35.1,60.0,9.1,4.1,0.462,5.3,10.6,0.152,0.613,16.3,73.3,0.268
69,ATL,2011-03-20,1,DET,1.0,104,96,122.9,113.4,84.6,0.443,0.214,0.622,53.4,67.6,9.5,7.9,0.579,9.7,24.2,0.329,0.532,11.4,77.5,0.167
70,ATL,2011-03-22,1,CHI,0.0,81,114,96.2,135.4,84.2,0.375,0.094,0.543,39.4,55.2,5.9,11.5,0.492,14.8,14.3,0.281,0.608,10.9,67.7,0.228
71,ATL,2011-03-23,0,PHI,0.0,100,105,115.9,121.7,86.3,0.185,0.222,0.571,49.4,56.4,4.6,1.5,0.531,9.3,21.1,0.173,0.548,6.1,75.6,0.155
72,ATL,2011-03-26,1,NJN,1.0,98,87,113.1,100.4,86.6,0.282,0.231,0.559,55.6,59.0,10.4,4.5,0.526,12.0,26.5,0.205,0.5,11.7,81.6,0.101
73,ATL,2011-03-27,0,CLE,1.0,99,83,105.8,88.7,93.6,0.365,0.189,0.576,49.5,78.4,7.5,6.0,0.534,10.4,5.1,0.27,0.397,10.3,80.4,0.161
74,ATL,2011-03-30,1,ORL,1.0,85,82,105.2,101.5,80.8,0.214,0.214,0.555,53.2,63.6,5.0,11.1,0.514,14.5,20.6,0.186,0.461,6.5,77.8,0.143
75,ATL,2011-04-01,1,BOS,1.0,88,83,103.2,97.4,85.3,0.38,0.203,0.477,57.8,48.3,2.3,1.6,0.392,9.8,28.6,0.329,0.486,6.8,92.7,0.149
76,ATL,2011-04-03,0,HOU,0.0,109,114,118.2,123.6,92.2,0.247,0.185,0.607,46.2,55.8,5.4,3.3,0.562,10.9,20.0,0.222,0.593,13.8,76.7,0.333
77,ATL,2011-04-05,1,SAS,0.0,90,97,104.5,112.6,86.2,0.278,0.181,0.557,39.1,48.6,8.1,3.0,0.507,12.0,9.1,0.236,0.507,12.3,71.0,0.297
78,ATL,2011-04-08,0,IND,0.0,102,114,109.2,122.0,93.4,0.474,0.171,0.555,42.4,30.6,6.4,5.5,0.507,11.6,20.9,0.329,0.512,9.9,64.3,0.302
79,ATL,2011-04-09,0,WAS,0.0,83,115,89.5,124.0,92.7,0.184,0.118,0.505,40.7,60.6,5.4,8.6,0.467,19.6,17.5,0.158,0.547,9.2,63.4,0.244
80,ATL,2011-04-11,1,MIA,0.0,90,98,105.2,114.6,85.5,0.253,0.145,0.488,47.9,67.6,12.9,1.9,0.47,12.4,34.9,0.145,0.565,17.6,66.7,0.29
81,ATL,2011-04-13,0,CHA,0.0,85,96,97.4,110.0,87.3,0.253,0.101,0.484,50.0,47.1,3.4,10.0,0.437,13.8,25.0,0.203,0.519,8.4,79.4,0.163
82,ATL,2011-04-16,0,ORL,1.0,103,93,115.6,104.4,89.1,0.392,0.189,0.594,42.0,50.0,9.0,1.9,0.554,9.4,15.6,0.284,0.493,16.9,64.9,0.253
83,ATL,2011-04-19,0,ORL,0.0,82,88,95.2,102.1,86.2,0.21,0.247,0.463,42.9,46.9,8.1,12.7,0.438,14.5,28.9,0.136,0.378,14.6,56.5,0.372
84,ATL,2011-04-22,1,ORL,1.0,88,84,108.7,103.8,81.0,0.235,0.173,0.492,48.1,58.8,4.9,8.9,0.457,7.3,24.4,0.173,0.479,9.9,73.7,0.192
85,ATL,2011-04-24,1,ORL,1.0,88,85,96.7,93.4,91.0,0.267,0.2,0.525,51.2,60.0,7.7,7.1,0.507,14.3,17.9,0.16,0.405,12.4,78.7,0.266
86,ATL,2011-04-26,0,ORL,0.0,76,101,88.0,117.0,86.3,0.464,0.232,0.457,47.3,60.0,3.5,5.3,0.391,11.7,15.9,0.319,0.476,5.0,76.6,0.265
87,ATL,2011-04-28,1,ORL,1.0,84,81,105.9,102.1,79.3,0.19,0.278,0.491,55.1,58.1,10.1,8.3,0.443,13.2,36.8,0.177,0.47,14.5,77.4,0.269
88,ATL,2011-05-02,0,CHI,1.0,103,95,118.7,109.4,86.8,0.256,0.167,0.593,50.7,50.0,9.2,12.3,0.558,10.3,25.0,0.205,0.494,10.9,74.4,0.157
89,ATL,2011-05-04,0,CHI,0.0,73,86,83.5,98.3,87.5,0.312,0.169,0.417,40.2,53.8,11.4,16.1,0.357,12.1,18.5,0.234,0.423,12.4,67.4,0.179
90,ATL,2011-05-06,1,CHI,0.0,82,99,103.1,124.5,79.5,0.357,0.086,0.506,42.0,54.5,5.0,6.8,0.479,11.0,23.7,0.214,0.532,11.2,58.1,0.19
91,ATL,2011-05-08,1,CHI,1.0,100,88,113.8,100.1,87.9,0.247,0.136,0.557,49.3,57.5,6.8,11.3,0.519,11.8,21.9,0.198,0.429,10.0,70.7,0.269
92,ATL,2011-05-10,0,CHI,0.0,83,95,104.0,119.0,79.8,0.239,0.169,0.529,47.1,58.8,2.5,8.6,0.486,11.3,22.9,0.197,0.514,9.6,71.4,0.292
93,ATL,2011-05-12,1,CHI,0.0,73,93,87.0,110.8,83.9,0.338,0.149,0.429,50.0,51.9,9.5,4.7,0.372,12.4,23.7,0.243,0.552,10.9,81.3,0.104
94,ATL,2011-12-27,0,NJN,1.0,106,70,121.2,80.0,87.5,0.244,0.267,0.556,58.6,60.5,12.6,8.5,0.512,11.2,38.6,0.209,0.345,17.9,79.1,0.296
95,ATL,2011-12-28,1,WAS,1.0,101,83,110.0,90.4,91.8,0.467,0.307,0.559,58.4,65.6,6.5,8.2,0.487,13.4,29.7,0.373,0.429,15.6,85.0,0.221
96,ATL,2011-12-30,1,NJN,1.0,105,98,123.4,115.2,85.1,0.494,0.195,0.56,48.7,59.5,8.2,9.7,0.506,11.4,37.5,0.351,0.518,12.9,60.5,0.159
97,ATL,2011-12-31,0,HOU,0.0,84,95,93.9,106.2,89.4,0.2,0.2,0.483,47.1,45.7,4.5,9.5,0.463,12.1,15.0,0.125,0.518,12.0,75.6,0.122
98,ATL,2012-01-02,0,MIA,1.0,100,92,111.5,102.6,89.7,0.244,0.195,0.551,50.0,48.7,11.2,8.3,0.53,9.9,24.4,0.159,0.5,15.8,76.9,0.26
99,ATL,2012-01-03,0,CHI,0.0,74,76,83.2,85.4,89.0,0.313,0.188,0.407,48.4,67.9,9.0,6.7,0.375,11.7,21.7,0.175,0.364,13.7,75.6,0.26
100,ATL,2012-01-05,1,MIA,,109,116,95.5,101.7,86.9,0.489,0.234,0.477,47.7,61.1,8.8,6.8,0.415,13.0,26.3,0.33,0.48,15.8,72.0,0.176
